City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
RIO VISTA,CA,USA,4/14/2020,0.0,0.0,Light,"Strange objects flying in perfect formation above Rio Vista, Ca ((Starlink satellites))",0,0
ROCHESTER,NY,USA,12/15/2020,0.0,0.0,Light,"Over 20 lights in formation in most parts non stop over Rochester, NY",0,0
ROCKFORD,IL,USA,4/8/2020,0.0,0.0,Light,"2 identically shaped objects with multiple bright lights in night sky. There was a center light with lighted ""spokes"" on both",0,0
ROCKVILLE,MD,USA,9/4/20239/4/2023,0.0,0.0,SphereSphere,White tic tack type object at first thought was seagull but moved to fast and then dissapearedWhite tic tack type object at first thought was seagull but moved to fast and then dissapeared,0,0
ROSEBURG,OR,USA,3/7/2022,0.0,0.0,Sphere,Ball of blue light falling slowly west to east in the northern sky,0,0
Ridgefield,CT,USA,10/16/20074/5/19594/20/20183/14/200610/20/20004/15/20143/26/2018,0.0,0.0,SphereLightCircleCircleTriangleOtherOrb,"spherical shiny metallic object over Ridgefield skiesIntensely flashing light stationary at first for 30 or 40 seconds then began to move south/west at a steady pace then blinked out.Circle of multicolored lights Western CT/NY.Massive circular object hovering in the night sky, year 1985.triangular ufo flew overheadSlow moving red and yellow objects.03/26/18 Late afternoon Ridgefield, CT single shining light orb flew right across sky then back split into 3 orbs looked like something",0,0
Ridgefield,NJ,USA,8/4/2018,0.0,0.0,Light,"White, star-like object, slow moving silent light in Bergen Cty. NJ. ((anonymous report))",0,0
Ridgefield,WA,USA,4/8/196410/11/20237/22/20184/9/19579/4/19991/23/20046/15/19771/23/20078/18/20036/15/19961/28/20071/14/20036/30/20048/6/20237/10/19804/26/2018,0.0,0.0,TriangleCircleCircleLightLightCircleCircleLightCylinderOvalLightSphereLightOrbOrbCylinder,"2 eyewitnesses see 3 reddish glowing lights in a perfect triangle formation silently hovering 200' above ground.Purple backlit light in cloudsObject is orangish w/ a red light at the base, low, unmoving and it looks to have 4 shoots coming off the sides. ((anonymous report))Bright light on western sky visable for 10 mins not moving at all, but light went out.a large white ball coming towards me then as I focused on it, it seemed to know somehow that I was aware of it and it turned, faster thIt has many different lights,and could speed twice as fast as any jet plane.when i was 8 or 9 i saw lights in the sky above my head like tiny christmass lightseating dinner and noticed a light hovering 5 miles away. It was not moving it just hovered thier.Abright orange cylinder flying norhwest up much higher than I think a plane can go and the speed was not steady, it slowed then sped atextraterrestrial recovered by mother shiplight seen ((NUFORC Note: Possible landing light on distant aircraft?? PD))Bright green ball of light moving from one direction to another, landing in riverMoving light in sky, flashes and causes sky to give the effect of rippling by Ridgefield, WA.Bright stationary light in NW portion of sky.A bright light orb, flies in a Z pattern.Object flying next to full size airplane at same speed.",Y,Reflection
Ridgefield (fairgrounds area),WA,USA,10/8/2023,0.0,0.0,Orb,Witnessed an orb (round ball of light} paralleling a commercial flight. Both at different levels and at different speeds.,0,0
Ridgeland,MS,USA,8/7/20044/21/19474/13/202010/4/2004,0.0,0.0,CircleFireballCircleDisk,"Ball of light moving at a rapid speed.About 30 amber to orange lights moving north on the west side of I-55.5 year old niece had brought it to our attention yesterday (02/14/2013 around 16:00) that she said she saw some â€œwhite thingsâ€ in the sLow , non moving, white , oval/sperical(blimp like) object seen in Ridgeland at 11 AM.",0,0
Ridgeland,SC,USA,4/9/20204/21/194810/20/2022,0.0,0.0,CigarTeardropLight,Cigar shape slow moving above tree topsOrange silent moving thing.Military helicopter following a light,0,0
Ridgely,MD,USA,2/25/20098/15/2008,0.0,0.0,LightFireball,A Whitish/Orange Light in the sky made no sound as it traveled overhead.White streak of light low in the sky heading East to West in the Northern sky.,0,0
Ridgetop,TN,USA,6/30/2005,0.0,0.0,Other,A Green light over city was reported to be a fire on next day newspaper.,0,0
Ridgeville,SC,USA,11/24/2018,0.0,0.0,Rectangle,Saw what I thought was a fire truck with all red lights going crazy in the middle of the road; object vanished!!,0,0
Ridgeway,CO,USA,4/25/19393/20/2007,0.0,0.0,FormationOther,Two vessels appeared in a picture.There were nine or ten of these object flying everywhere and seemed to come from the dull star in the West.,0,0
Ridgeway,SC,USA,4/14/19724/14/20277/4/2003,0.0,0.0,OrbChangingCircle,"Bright orb spotted in the sky.Unusually bright white light changes into 4 different distinct shapes, has bright blue light on 1 end, center& end light.. 6 good pix.No beams or if it was a car or truck now that I go back and look at this drive we should have not seem both lights of the car or truck",0,0
Ridgeway,VA,USA,2/5/2020,0.0,0.0,Circle,A bright round light that changed brightnesses and moves off in a northwest direction,0,0
Ridgewood,NJ,USA,6/15/199911/16/20048/1/20197/11/20064/29/19554/23/197010/3/2004,0.0,0.0,LightOvalRectangleLightEggOtherCircle,"it was just a light, it looked like a star but it was way too bright to be a star7 oval shaped lights moving in formations for 10 minutes, may have left trails, then disappeared.Flat black looking car sized rectangle with a cupola on top with a featureless driver appeared to look down.white star-like light moving across the sky. ((NUFORC Note: ISS?? PD))Metallic egg craft with a shadow circle orb around it.Small craft traveling low and slow with clear dome emitting orange and red lightRed object with a fading red tail flies slowly through sky",0,0
