Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
3/26/2020,,,Cambria,CA,USA,Circle,Lot of Solid white round objects flying on the same course ssw-nne with same spacing. ((Starlink satellites)),,
3/21/2020,,,Crescent City,CA,USA,Formation,Eight lights in V pattern traveling from east to west in seconds dissapearing over the ocean,,
4/5/1955,,,Cleveland,OH,USA,Flash,"Beam of light over Cleveland Clinic Main Campus in Cleveland, Ohio That cause power loss.",,
6/6/2001,,,Cusick,WA,USA,Cigar,I was walking in a field when at my three o'clock I saw a UFO.,,
4/6/2003,,,Burley,ID,USA,Fireball,Bright fireball in sky 15 miles away hovering in sky for 30 minutes until sun rises.,,
4/14/1952,,,Clearwater,FL,USA,Circle,Throbbing multicolored light witnessed over Clearwater Beach.,,
2/21/2007,,,Akron,OH,USA,Light,"moving bright light suddenly changed color from bright yellow-white to orange, then red, then dark red and disappeared",,
4/19/2016,,,Colorado Springs,CO,USA,Other,"Fiery bird like, flapping reddish yellow and white light.",,
6/17/2021,,,Buena park,CA,USA,Circle,Giant black circular object peeping in and out of back of weird Grey storm cloud,,
8/19/2022,,,Clallam Bay,WA,USA,Disk,Saucer shape with neon purple rings seen hovering through trees hovering over campsite then moving westward over ocean out of site.,,
10/25/2003,,,Bruce,WA,USA,Oval,the object did not emit any light onto the land,,
8/5/2022,,,Amherst,NY,USA,Triangle,Three red lights in front of clouds,,
5/6/1999,,,Delhi,CO,USA,Changing,"Bright yellow-orange light that morphed into two, then one, then faded in and out before disappearing.",,
4/9/2009,,,Chicago,IL,USA,Circle,"Red Flying object over lake shore Dr, Chicago, IL",,
4/14/1992,,,Augusta,ME,USA,Oval,White and Orange oval craft in the sky over State of Maine !!!,,
9/15/2002,,,Charlotte,NC,USA,Cone,230 am 0n sept 15 2002 my friends and I WERE ON LAKE WYLIE fishing. WE were startled as two cone shaped objects passed oveerhead at obl,,
4/14/2005,,,Dugway,UT,USA,Other,Seen two huge white space shuttle looking objects in the sky just hovering and slowly moving!,,
5/22/2022,,,Easton,PA,USA,Changing,Our Ring camera caught this-my husband took the dogs out in the morning & they acted weird. Checked the camera. We have video.,,
4/21/1981,,,Catalina Island,CA,USA,Other,"Unidentified Flying Object above Catalina Island, June 2015.",,
4/15/2019,,,Chesterfield,VA,USA,Triangle,"Hovered slowly down road, object had flashing lights in each corner.",,
7/20/2020,,,Beverly,MA,USA,Other,Anomalous object hovering over our street at 7:45 PM,,
5/19/2023,,,Boulder,CO,USA,Triangle,I saw a cone shape with 4 circular objects below it floating North,Y,Balloon?
6/1/1998,,,Denmark,SC,USA,Triangle,"Triangle shape object, black with light with no sounds in the summer of 1998.",,
4/23/2026,,,Charlotte,NC,USA,Orb,"Orbs moving in sequence. ((NUFORC Note: Possible advertising lights, we wonder? PD))",,
8/4/1975,,,Bristolville,OH,USA,Disk,"On a summer day, in broad daylight, at a public park on a busy road, numerous witnesses, missing time and my brand new VW.",,
4/11/1963,,,Drayton Plains,MI,USA,Circle,The highway in Waterford runs alongside a lake they were going across also.,,
4/8/1970,,,Anchorage,AK,USA,Circle,"This incident took place on 11-23-11, I had just passed Alaska Regional Hospital and was heading West on Debarr Rd. and had just crosse",,
3/20/2020,,,Bemidji,MN,USA,Light,Zig-zagging light moving at alternating velocities.,,
9/14/2008,,,Bedford,NH,USA,Light,"Yellow-orange ""stars"" moving erratically then stopping, and so on.",,
4/12/1965,,,Dallas,TX,USA,Light,Bright round light in sky that moved left to right then up with colorful lights. ((NUFORC Note: Possile sighting of Sirius? PD)),,
7/27/2000,,,Bouse,AZ,USA,Light,"At 21:37, husband was outside compound and saw one amber light appear going from NE to Easterly direction lasted 5 seconds. Then second",,
6/13/2004,,,Crisfield,MD,USA,Sphere,"It was a UFO About 9:30pm, I was just happed to be outside and I saw this--- Just a red-sphere, that I seen before...I have seen many",,
4/20/2009,,,Conyers,GA,USA,Light,"Object seen flying over interstate, increasing in brightness, then vanishing into thin air.",,
4/16/1939,,,Boynton Beach,FL,USA,Sphere,"2 glowing red spheres spaced 7 minutes apart traveling across Boynton Beach, FL.",,
4/17/1992,,,Chicago,IL,USA,Fireball,I WAS SMOKING AND LOOKING AT THE STARS WHEN I NOTICED ONE OF THEM STARTED MOVING NORTHWEST.,,
4/14/1959,,,Bremerton,WA,USA,Light,Red/orange lights over Kitsap County.,,
7/15/1969,,,Cape Canaveral,FL,USA,Sphere,check your home movies of apollo 11,,
1/30/2018,,,Bryceville,FL,USA,Orb,"Two bright white orbs in the noon sky in north east Florida, observed from two different city's.",,
4/17/1931,,,Deerfield Beach,FL,USA,Oval,I was looking toward the east over the Atlantic Ocean when I seen this round like it went from unbelievably fast motion straight down s,,
10/3/2007,,,Burnsville,MN,USA,Light,UFO lights over Minnesota River in Burnsville that resemble the Phoenix lights.,,
2/24/2024,,,Columbus,OH,USA,Cylinder,"White metallic capsule flew over very fast, being chased by Apache helicopter.",,
3/28/1943,,,Alvin,TX,USA,Sphere,Big chrome balls,,
4/8/1937,,,Colby,KS,USA,Orb,White sphere being followed.,,
8/1/2001,,,Cottage Grove,OR,USA,Triangle,Turquoise triangle hovering then zig zags at an extreme rate of speed upwards disappears.,,
4/14/1954,,,Baldwinsville,NY,USA,Orb,Three equidistant orange spherical orbs were seen by four of us for about three minutes.,,
10/26/2001,,,Clarksville,AR,USA,Cylinder,"Two of us observed a shiny, silent, cylindrical craft at 5000 feet or less on October 26.",,
9/20/2004,,,Coatesville,PA,USA,Cross,Unkown Craft Flying Over Coatesville.,,
3/1/2020,,,Burlington,VT,USA,Triangle,"I noticed several small white lights, all in equal luminosity. ((""Starlink satellites??))",,
4/27/1983,,,Billings,MT,USA,Circle,"Three bright orange circles, moving in the same direction with zero sound, flickering and disappearing.",,
4/10/1980,,,Alameda,CA,USA,Fireball,"I had been moving in to our new apartment in Alameda, California. I was relaxing on the beach overlooking the San Francisco Bay south o",,
1/27/2006,,,Billerica,MA,USA,Light,Extremely fast bright blue light,,
3/28/2005,,,Cedar Rapids,IA,USA,Disk,Half-circle mooon shaped object with 5 brownish-oragneish colored lights on the bottom.,,
