Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
3/21/2020,-124.1499052,41.85280485,Crescent City,CA,USA,Formation,Eight lights in V pattern traveling from east to west in seconds dissapearing over the ocean,,
4/5/1955,-81.6989598,41.4843982,Cleveland,OH,USA,Flash,"Beam of light over Cleveland Clinic Main Campus in Cleveland, Ohio That cause power loss.",,
6/6/2001,-117.297165,48.3374055,Cusick,WA,USA,Cigar,I was walking in a field when at my three o'clock I saw a UFO.,,
4/14/1952,-82.8001026,27.9658533,Clearwater,FL,USA,Circle,Throbbing multicolored light witnessed over Clearwater Beach.,,
2/21/2007,-81.5314562,41.0701939,Akron,OH,USA,Light,"moving bright light suddenly changed color from bright yellow-white to orange, then red, then dark red and disappeared",,
4/19/2016,-104.825348,38.8339578,Colorado Springs,CO,USA,Other,"Fiery bird like, flapping reddish yellow and white light.",,
8/19/2022,-124.2606995,48.2539902,Clallam Bay,WA,USA,Disk,Saucer shape with neon purple rings seen hovering through trees hovering over campsite then moving westward over ocean out of site.,,
5/6/1999,-104.017137,37.6421559,Delhi,CO,USA,Changing,"Bright yellow-orange light that morphed into two, then one, then faded in and out before disappearing.",,
4/9/2009,-87.6244212,41.8755616,Chicago,IL,USA,Circle,"Red Flying object over lake shore Dr, Chicago, IL",,
9/15/2002,-80.8430827,35.2272086,Charlotte,NC,USA,Cone,230 am 0n sept 15 2002 my friends and I WERE ON LAKE WYLIE fishing. WE were startled as two cone shaped objects passed oveerhead at obl,,
4/14/2005,-112.744842,40.2215008,Dugway,UT,USA,Other,Seen two huge white space shuttle looking objects in the sky just hovering and slowly moving!,,
5/22/2022,-75.2099866,40.6916081,Easton,PA,USA,Changing,Our Ring camera caught this-my husband took the dogs out in the morning & they acted weird. Checked the camera. We have video.,,
4/15/2019,-77.5046698,37.3777927,Chesterfield,VA,USA,Triangle,"Hovered slowly down road, object had flashing lights in each corner.",,
6/1/1998,-81.1423236,33.3226546,Denmark,SC,USA,Triangle,"Triangle shape object, black with light with no sounds in the summer of 1998.",,
4/23/2026,-80.8430827,35.2272086,Charlotte,NC,USA,Orb,"Orbs moving in sequence. ((NUFORC Note: Possible advertising lights, we wonder? PD))",,
